course_id,review_platform,title,provider,school,area,subject,price,level,course_length,effort_hours,published_time,time,session_open,low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,review count,review rating,indegree,outdegree,degree,betweenness,closeness,eigenvector,transitivity,constraint,performace (t),performance (t+1),url
CourseTalk-2921,CourseTalk,Object Oriented Programming in Java,Coursera,"University of California, San Diego",Computer Science,Software Development,30,Intermediate,6,5,3,3,TRUE,0,0,1,0,2613,1,4,0,0,0,0,0,4.93E-06,0,0,4,0,50397
CourseTalk-2925,CourseTalk,A Crash Course in Data Science,Coursera,Johns Hopkins University,Data Science,Data Analysis,25,NA,1,5,3,3,TRUE,0,0,1,0,2528,1,4,2,2,4,1872,0,1.52E-05,4.93E-05,0.500039419,4,0,50862
CourseTalk-2926,CourseTalk,An Introduction to Interactive Programming in Python (Part 2),Coursera,Rice University,Computer Science,Software Development,30,Introductory,4,8.5,2,3,TRUE,0,0,1,0.5,316.5,2,4.5,3,3,6,5120.166667,0,1.54E-05,4.93E-05,0.333372752,9,0,42453
CourseTalk-2928,CourseTalk,A Brief History of Human Spaceflight,Coursera,University of Houston System,Arts and Humanities,History,30,NA,9,NA,4,3,TRUE,0,0,1,0,2269,1,4,1,1,2,3903.083333,0,1.54E-05,4.93E-05,0.500039419,4,0,50363
CourseTalk-2929,CourseTalk,Leading Teams,Coursera,University of Michigan,Business,Leadership and Management,30,NA,4,1.5,3,4,TRUE,0,0,1,0,456,1,4,1,1,2,96,3.08E-17,1.88E-05,7.48E-05,0.500219353,4,NA,50783
CourseTalk-2930,CourseTalk,Visual Perception and the Brain,Coursera,Duke University,Life Sciences,Biology,30,NA,5,3.5,2,2,TRUE,0,0.5,0.5,0,1090,2,3.75,3,2,5,1188.233333,6.78E-06,4.78E-05,2.70E-05,0.360147128,7.5,0,24536
CourseTalk-2932,CourseTalk,Machine Learning for Data Analysis,Coursera,Wesleyan University,Data Science,Machine Learning,30,NA,4,NA,3,3,TRUE,0,0,1,0,458,1,4,2,2,4,2483.5,0,1.52E-05,4.93E-05,0.500039419,4,0,50888
CourseTalk-2933,CourseTalk,Data Science in Real Life,Coursera,Johns Hopkins University,Data Science,Data Analysis,25,NA,1,5,3,3,TRUE,0,0,1,0,2161,1,4,2,2,4,1348,0,1.51E-05,4.93E-05,0.500039419,4,0,50637
CourseTalk-2934,CourseTalk,Machine Learning: Classification,Coursera,University of Washington,Data Science,Machine Learning,30,NA,7,6.5,3,3,TRUE,0,0,1,0,5380,1,4,1,0,1,0,0,1.48E-05,0,1.000039419,4,0,50416
CourseTalk-2936,CourseTalk,Managing an Agile Team,Coursera,University of Virginia,Computer Science,Design and Product,45,NA,4,3.5,3,3,TRUE,0,0,1,0,2227,1,4,0,0,0,0,0,4.93E-06,0,0,4,0,51723
CourseTalk-2937,CourseTalk,A Life of Happiness and Fulfillment,Coursera,Indian School of Business,Social Sciences,Psychology,30,NA,6,2.5,2,3,TRUE,0,0,1,0,322,1,4,1,2,3,3,0,4.97E-06,4.93E-05,0.555594974,4,0,50426
